#label	feature	median difference	p-value
cluster id	feature	median diff	Wilcoxon p-value
0	RNA_CALU	2484.3092479435595	8.961487599939226e-36
0	RNA_TMEM45A	351.29799999999994	3.2372978707928253e-34
0	RNA_CORO1C	773.9739000000002	1.3165210309838364e-32
0	RNA_ULBP2	12.0817	7.218599684681398e-31
0	RNA_TMEFF1	30.8602	6.355398156535702e-30
0	RNA_CHST6	37.0369	2.831195163629401e-29
0	RNA_SOX11	55.919	3.5489684973339937e-29
0	RNA_GARS	826.0624	1.103064398769588e-28
0	RNA_FAM98A	291.0687999999999	1.7775293928727712e-28
0	RNA_NXN	373.3179	3.194831676930408e-28
0	RNA_ULBP1	16.2275	6.723366768122831e-28
0	RNA_CLIC4	2101.399	1.5873841245388715e-27
0	RNA_C11orf41	149.2184	2.0969490595549684e-27
0	RNA_MAP4K4	944.8902999999998	3.275799802664357e-27
0	RNA_PLS3	1110.8439999999998	4.1733984389198886e-27
0	RNA_FNDC1	1039.5070999999998	1.0623932862680747e-26
0	RNA_TMEM158	87.49360000000001	1.4672215551606712e-26
0	RNA_MURC	4.726399999999999	2.8319463707583144e-26
0	RNA_MTHFD1L	146.1555	3.438692508289697e-26
0	RNA_LOXL2	723.5702000000001	5.341529170119783e-26
0	RNA_RAB23	178.19420000000002	9.991633054461411e-26
0	RNA_CYP27C1	5.212400000000001	1.0533690569906815e-25
0	RNA_TMEM65	230.37019999999995	1.5019396573882677e-25
0	RNA_HEPH	274.00860000000006	2.1087318738710554e-25
0	RNA_ROS1	1.2358	4.173559366026322e-25
0	RNA_KIAA1199	299.8967	5.4285646398590205e-25
0	RNA_HRH1	78.62859999999999	5.995375315942577e-25
0	RNA_BCAT1	269.0217	8.148359527382198e-25
0	RNA_LOX	599.8136	1.735862310256676e-24
0	RNA_C5orf46	31.1299	1.756294004395052e-24
0	RNA_DCBLD1	122.1868	2.3302966118484434e-24
0	RNA_C7orf10	41.3884	3.695549935273596e-24
0	RNA_C9orf30	82.19189999999998	4.307663885689738e-24
0	RNA_MYO10	635.053	4.837308738084852e-24
0	RNA_PGK1	3001.9671	4.85978586477043e-24
0	RNA_PTK7	1481.3997	5.090325113267489e-24
