#label	feature	median difference	p-value
0	MIR_hsa-mir-200a	-1525.0728379999998	1.0755741381031314e-15
0	MIR_hsa-mir-378a	-665.3486399999999	5.924112546240961e-14
0	RNA_C4orf19	-250.76575000000003	6.180307102813684e-13
0	MIR_hsa-mir-200c	-6485.620017499998	1.0350816372852117e-12
0	MIR_hsa-mir-194-2	-4076.7185329999993	5.8547434646618565e-12
0	RNA_HK2	-1562.9558000000006	8.977699052973185e-12
0	MIR_hsa-mir-375	-22801.695989499996	1.3358963884462156e-11
0	MIR_hsa-mir-200b	-1112.394106	1.5853860390558154e-11
0	MIR_hsa-mir-194-1	-3730.678951485551	3.292022569779583e-11
0	RNA_ATP8B1	-1530.3332500000001	6.341908429452515e-11
0	RNA_CLINT1	-815.0542	8.498039426566256e-11
0	RNA_CASP5	-98.8631	9.286199719018641e-11
0	RNA_PRELID2	-114.71659999999997	1.040521551527316e-10
0	MIR_hsa-mir-192	-20609.326299065593	1.10827738872084e-10
0	RNA_NAT1	-108.49800000000002	2.021576746100951e-10
0	METH_SNX12	-0.34006899715814454	2.124625633280904e-10
0	METH_TSPYL2	-0.3150573856212373	3.3150935198781947e-10
0	RNA_SH3RF2	-304.51609999999994	3.5686396658919043e-10
0	METH_PDHA1	-0.3969217536033865	6.029108517360773e-10
0	METH_G6PD	-0.2809069528112791	6.176983288065487e-10
0	METH_IKBKG	-0.2809069528112791	6.176983288065487e-10
0	MIR_hsa-mir-429	-209.735835	7.959711069379184e-10
0	RNA_GMDS	-1163.9177999999997	9.417417380020625e-10
0	METH_GLA	-0.24870060712760436	1.100215762119268e-09
0	METH_HNRNPH2	-0.24870060712760436	1.100215762119268e-09
0	METH_RPGR	-0.39622560401481	1.1134298893775403e-09
0	METH_POPDC2	-0.06311961830862	1.1403239808310992e-09
0	METH_FTSJ1	-0.14399695807212995	1.1540074875826232e-09
0	METH_RPS6KA3	-0.2583285424231635	1.1960255204553875e-09
0	RNA_CASP7	-448.54565000000025	1.3795213461543778e-09
0	METH_FAM122B	-0.14350656947143903	1.3959955371076146e-09
0	METH_PIGA	-0.3057362140973463	1.6284186619385121e-09
0	METH_APEX2	-0.20651757891261896	1.6673716179536792e-09
0	METH_GPBAR1	-0.05474190400312695	1.7072320270841774e-09
0	MIR_hsa-mir-215	-516.083687	1.8109890938400671e-09
0	RNA_LGALS4	-7238.68815	1.8324656841799043e-09
0	METH_MCTS1	-0.25170838037376553	1.8541903609490263e-09
0	RNA_RBM47	-813.1525999999999	1.8761659097111757e-09
0	RNA_MOBKL2B	-252.94700000000012	1.898395146355499e-09
0	RNA_B3GNT5	-326.47749999999996	1.9208809174155623e-09
0	METH_INTS6L	-0.20156548794096296	2.457726120099901e-09
0	METH_KIF4A	-0.26028419961623495	2.7622429164665784e-09
0	METH_PDZD11	-0.26028419961623495	2.7622429164665784e-09
0	METH_RP2	-0.2798885369628274	2.7946421276430654e-09
0	RNA_CDS1	-319.08844999999997	2.860554512998347e-09
0	RNA_CCL28	-123.96895	2.927979759172007e-09
0	RNA_BCL10	-242.97980000000007	2.9969515833748312e-09
0	METH_CMYA5	-0.054924944909704454	3.0320281974394713e-09
0	METH_TSR2	-0.2669342860083389	3.0320281974394713e-09
0	RNA_FCGBP	-13196.0799	3.2890047954658798e-09
0	MIR_hsa-mir-15b	-90.53620000000001	3.445242459947583e-09
0	RNA_TPD52	-1432.0722000000005	3.485417015362544e-09
0	MIR_hsa-mir-203b	-93.88416400000001	4.051058405952224e-09
0	METH_CCDC105	-0.06263078548937795	4.193762316440468e-09
0	METH_FAM122C	-0.1156315648885235	4.598645845138902e-09
0	METH_WWC3	-0.4888835443937787	5.15850159670186e-09
0	METH_UBL4A	-0.2814631024137164	5.7186787459880565e-09
0	RNA_GSR	-675.6590000000001	5.850972640209738e-09
0	METH_ATP6AP2	-0.25702102798284554	6.265966823412079e-09
0	METH_SLC25A14	-0.2795938874073345	7.022060222340193e-09
0	MIR_hsa-mir-141	-723.2474445	7.265698416699975e-09
0	METH_CSTF2	-0.2266062533570833	8.046970695082801e-09
0	RNA_KLF4	-856.81275	8.231369747277076e-09
0	RNA_KCTD9	-218.92759999999993	8.41987460954346e-09
0	METH_RRAGB	-0.3466842767929845	9.11327091072295e-09
0	METH_GPC4	-0.34475239990202317	9.216752227421083e-09
0	METH_ABCD1	-0.156627327555871	9.53409651554044e-09
0	METH_BCAP31	-0.156627327555871	9.53409651554044e-09
0	RNA_UGT8	-372.6822999999998	9.751533386597059e-09
0	METH_UPF3B	-0.30045816177566165	9.751533386597059e-09
0	RNA_AIM1	-822.7244500000002	9.97378734894471e-09
0	METH_INPP5F	-0.016495359713643964	1.0670496559562028e-08
0	METH_TSC22D3	-0.2343147355356292	1.1414413009834635e-08
0	METH_MPDU1	-0.03427968324461106	1.193810367714892e-08
0	METH_PGK1	-0.2735198142580221	1.2625623168615127e-08
0	METH_HCCS	-0.11043687311613304	1.3501526249096185e-08
0	MIR_hsa-mir-625	-318.22157799999997	1.3501526249096185e-08
0	METH_SPIN3	-0.2719305604480245	1.3961338363047743e-08
0	RNA_F2RL1	-645.5345	1.4117962659478537e-08
0	METH_PRRG1	-0.317819866022549	1.4276293309127012e-08
0	METH_LOC158572	-0.23245049046888952	1.4276293309127012e-08
0	METH_USP27X	-0.23245049046888952	1.4276293309127012e-08
0	METH_ZBTB33	-0.33737479004874954	1.459814587486183e-08
0	METH_AIFM1	-0.06804014845842152	1.459814587486183e-08
0	MIR_hsa-mir-7-1	-19.035584999999998	1.509417851827945e-08
0	RNA_BRI3BP	-114.3955	1.595750276042545e-08
0	RNA_TNFRSF11A	-232.08739999999997	1.6316098056992807e-08
0	METH_SNORD61	-0.17521871470693	1.705691755916902e-08
0	RNA_DMBT1	-3437.4856999999997	1.773184865413229e-08
0	METH_SMIM10L2A	-0.3910430007223905	1.8637814736379814e-08
0	RNA_GNPNAT1	-541.3532499999999	1.9266594355444703e-08
0	METH_ENOX2	-0.2356188527812824	1.9480728331654937e-08
0	RNA_PLS1	-1265.9880000000003	1.991595036510043e-08
0	MIR_hsa-mir-4746	-2.0597080000000005	2.0360606528580322e-08
0	METH_TAF1	-0.16551090113404138	2.0814894689961382e-08
0	RNA_NFKBIZ	-369.3071500000001	2.104571369572294e-08
0	RNA_LIMA1	-1700.3899999999999	2.2483706759464597e-08
0	METH_MSL3	-0.288545998176127	2.2483706759464597e-08
0	METH_HDAC6	-0.2490341476822488	2.2983896667141396e-08
0	METH_CITED1	-0.1229720954849835	2.4016883559663886e-08
0	METH_RPL36A	-0.27583332460939664	2.4550135695289127e-08
0	METH_COX7B	-0.30800122671595154	2.5094871367781387e-08
0	METH_PTCHD1	-0.20810580734165945	2.56513297506354e-08
0	RNA_DUOX2	-2339.0165500000003	2.6219754818414414e-08
0	RNA_NRARP	-610.9031500000001	2.6219754818414414e-08
0	RNA_PTPRH	-367.33624999999984	2.739350546894015e-08
0	RNA_SLC9A2	-293.9176500000001	2.9250267412442335e-08
0	METH_PHKA2	-0.32907911254880634	3.12288921593941e-08
0	METH_LONRF3	-0.3223675944283705	3.157104612785307e-08
0	RNA_SLC44A4	-2302.196999999999	3.1916835576551224e-08
0	METH_UBQLN2	-0.23134396676559849	3.519882407051471e-08
0	METH_RLIM	-0.13554145434173698	3.5583084903161184e-08
0	METH_BRWD3	-0.25950088998392984	3.5583084903161184e-08
0	METH_LOC401588	-0.31341138234093013	3.756623692879133e-08
0	METH_ZNF674	-0.31341138234093013	3.756623692879133e-08
0	RNA_FZD5	-438.80854999999997	3.838915436281951e-08
0	METH_BCORL1	-0.30934630126363083	4.2773064103852145e-08
0	METH_PRPS2	-0.409011804005733	4.370631974209743e-08
0	RNA_NOS2	-894.69695	4.465930421706657e-08
0	METH_DOCK11	-0.1131660205010866	4.5143320353835644e-08
0	METH_RAI2	-0.2761740637628075	4.6126655910030546e-08
0	RNA_ESCO2	-132.24995	4.713074233664154e-08
0	METH_USP51	-0.436043332200177	4.713074233664154e-08
0	RNA_ABHD3	-341.7998	4.7640698969400627e-08
0	RNA_ZDHHC3	-571.5315499999997	4.973453937963782e-08
0	MIR_hsa-mir-576	-4.072961000000001	4.973453937963782e-08
0	METH_PLXNA3	-0.3610173373908258	5.0271777750788604e-08
0	METH_ACSL4	-0.27935639775233645	5.0814639228422336e-08
0	RNA_KIAA1468	-212.30139999999994	5.136318066588333e-08
0	METH_RBBP7	-0.08506574157100452	5.136318066588333e-08
0	METH_NDP	-0.137807664700749	5.247753360472539e-08
0	RNA_SLC37A1	-519.02025	5.477696258848986e-08
0	METH_MOSPD1	-0.1601035135321604	5.596299807324741e-08
0	METH_SUV39H1	-0.2288688115933475	5.6565310546958764e-08
0	METH_SLC16A2	-0.3498009194247422	5.7788838076120896e-08
0	RNA_ITM2C	-4559.653800000001	5.903799364583924e-08
0	RNA_MFSD2A	-182.5958	5.903799364583924e-08
0	METH_FOXO4	-0.21164526008534298	6.227643069719272e-08
0	METH_VMA21	-0.20305734727178093	6.294446104195301e-08
0	METH_PRPS1	-0.0769076196610723	6.361943171926386e-08
0	RNA_LCN2	-6797.137099999999	6.63901201822867e-08
0	METH_NKAPP1	-0.38141085401315955	6.781894861414544e-08
0	MIR_hsa-mir-942	-5.4478025	6.781894861414544e-08
0	METH_VBP1	-0.186866926502803	7.152256950232625e-08
0	METH_SYN1	-0.17420083237503803	7.462580795720297e-08
0	METH_LOC92249	-0.16800568646624853	7.462580795720297e-08
0	METH_MAGED2	-0.12169522406953098	7.703841488502513e-08
0	RNA_C14orf129	-609.3042499999999	7.785927538336571e-08
0	METH_PRR23A	-0.04417523398396406	7.868860346811509e-08
0	METH_SYTL4	-0.1877976622427719	7.952648342873225e-08
0	RNA_GALNT7	-775.7996499999997	8.037300036111163e-08
0	METH_ATG4A	-0.21407106704624168	8.20922896012268e-08
0	METH_PSMD10	-0.21407106704624168	8.20922896012268e-08
0	RNA_INSC	-13.4179	8.60918983790471e-08
0	RNA_DUOXA2	-410.88425	8.933251579309146e-08
0	RNA_GPA33	-2656.937999999999	9.5164580336143e-08
0	METH_ZNF81	-0.1378257125506763	9.5164580336143e-08
0	RNA_SLC35A3	-284.86609999999996	9.617176365443232e-08
0	RNA_NR3C2	-243.84654999999998	9.718926230031706e-08
0	METH_PORCN	-0.2979018397321822	9.718926230031706e-08
0	METH_TMEM164	-0.35229478378810064	9.925561412407413e-08
0	METH_MAOA	-0.3474773121635587	1.0243508581196756e-07
0	METH_MIR199A1	-0.052890888953184945	1.0571303598330642e-07
0	METH_ZNF41	-0.3227261711888299	1.0571303598330642e-07
0	METH_ZNF449	-0.28390069086364905	1.0795449438134472e-07
0	METH_ZNF75D	-0.28390069086364905	1.0795449438134472e-07
0	RNA_RNF186	-258.79785000000004	1.1257621272587409e-07
0	RNA_TRIM36	-93.11804999999998	1.137612264447006e-07
0	METH_PPP1R3F	-0.20061969075955605	1.1616757250079164e-07
0	METH_PIN4	-0.17673233829732302	1.1862313870204239e-07
0	METH_RBM3	-0.12566930108682098	1.1986968182662303e-07
0	RNA_FAM55A	-212.90839999999997	1.217632920396249e-07
0	METH_CDKL5	-0.3745221279447094	1.2761940255321408e-07
0	RNA_ZC3H12A	-532.3785499999999	1.3305285223088298e-07
0	MIR_hsa-mir-203a	-6028.1722310000005	1.3305285223088298e-07
0	RNA_SUCLG2	-566.9483000000005	1.3585283445607557e-07
0	RNA_HADH	-569.7022	1.3727411587883293e-07
0	METH_MORF4L2	-0.163841286764002	1.3870977556507014e-07
0	METH_EMD	-0.296339670533156	1.3870977556507014e-07
0	RNA_TPMT	-362.67594999999983	1.4610869981090124e-07
0	METH_FAM199X	-0.19277797136909702	1.4610869981090124e-07
0	METH_LAS1L	-0.28107738817593625	1.476336188121916e-07
0	METH_FAM120C	-0.39090629434477275	1.5072976846206474e-07
0	RNA_ST6GALNAC1	-1838.4019500000002	1.523012996844917e-07
0	METH_OGT	-0.2726568762784509	1.53888671225078e-07
0	METH_STK26	-0.3280220041420464	1.53888671225078e-07
0	METH_CENPI	-0.27304762978675234	1.6375426158320708e-07
0	METH_FAM127B	-0.293666756196556	1.6717665643160173e-07
0	METH_SLC9A6	-0.20926227567745548	1.7244025003151048e-07
0	METH_YIPF6	-0.3234094246009049	1.742301216066316e-07
0	MIR_hsa-mir-190a	-2.2409470000000002	1.815709036775661e-07
0	METH_PIM2	-0.22614967212901343	1.8345230253470382e-07
0	METH_APOO	-0.24917415428054648	1.853525401986424e-07
0	METH_CXorf58	-0.24917415428054648	1.853525401986424e-07
0	RNA_MUDENG	-175.60534999999993	1.8727179830143435e-07
0	METH_OPHN1	-0.32099947394242445	1.8921026015365173e-07
0	RNA_CKMT1B	-1098.46795	1.9116811075916295e-07
0	METH_MIR199A2	-0.07354109587039959	1.9116811075916295e-07
0	MIR_hsa-mir-4676	-0.3600994999999999	1.9116811075916295e-07
0	RNA_APAF1	-190.8669500000001	1.9314553683004362e-07
0	RNA_DNAJC22	-106.87625	1.9314553683004362e-07
0	METH_NKRF	-0.29547266199405925	1.9314553683004362e-07
0	RNA_IBTK	-250.65175000000022	1.951427268015983e-07
0	RNA_RAVER2	-220.64440000000002	1.971598708475197e-07
0	RNA_ALAS1	-379.88469999999984	1.9919716089515903e-07
0	METH_FAM58A	-0.2825726944113683	1.9919716089515903e-07
